iso3c,year,e_gdppc
MEX,1980,11.865
MEX,1981,12.323
MEX,1982,12.218
MEX,1983,11.793
MEX,1984,11.664
MEX,1985,11.476
MEX,1986,11.053
MEX,1987,10.902
MEX,1988,10.842
MEX,1989,11.044
MEX,1990,11.389
MEX,1991,11.635
MEX,1992,11.883
MEX,1993,11.983
MEX,1994,12.043
MEX,1995,11.742
MEX,1996,12.059
MEX,1997,12.58
MEX,1998,12.948
MEX,1999,13.346
MEX,2000,13.653
MEX,2001,13.645
MEX,2002,13.635
MEX,2003,13.713
MEX,2004,14.061
MEX,2005,14.332
MEX,2006,14.584
MEX,2007,14.729
MEX,2008,14.771
MEX,2009,14.425
MEX,2010,14.779
MEX,2011,15.128
MEX,2012,15.415
MEX,2013,15.571
MEX,2014,15.737
MEX,2015,16.113
MEX,2016,16.32
MEX,2017,16.647
MEX,2018,16.885
MEX,2019,16.814
MEX,2020,NA
MEX,2021,NA
SUR,1980,7.736
SUR,1981,7.786
SUR,1982,7.652
SUR,1983,7.514
SUR,1984,7.428
SUR,1985,7.491
SUR,1986,7.418
SUR,1987,7.169
SUR,1988,7.379
SUR,1989,7.573
SUR,1990,7.687
SUR,1991,7.682
SUR,1992,7.59
SUR,1993,7.243
SUR,1994,7.183
SUR,1995,7.095
SUR,1996,7.303
SUR,1997,7.539
SUR,1998,7.617
SUR,1999,7.492
SUR,2000,7.671
SUR,2001,7.932
SUR,2002,8.25
SUR,2003,8.667
SUR,2004,9.156
SUR,2005,9.545
SUR,2006,10.008
SUR,2007,10.481
SUR,2008,10.918
SUR,2009,11.29
SUR,2010,11.815
SUR,2011,12.351
SUR,2012,12.672
SUR,2013,12.831
SUR,2014,12.786
SUR,2015,12.304
SUR,2016,11.779
SUR,2017,11.76
SUR,2018,11.705
SUR,2019,11.752
SUR,2020,NA
SUR,2021,NA
SWE,1980,24.822
SWE,1981,24.975
SWE,1982,25.266
SWE,1983,25.941
SWE,1984,26.599
SWE,1985,27.363
SWE,1986,28.122
SWE,1987,28.924
SWE,1988,29.563
SWE,1989,30.123
SWE,1990,30.348
SWE,1991,30.18
SWE,1992,29.787
SWE,1993,29.357
SWE,1994,30.079
SWE,1995,31.085
SWE,1996,31.746
SWE,1997,32.894
SWE,1998,34.167
SWE,1999,35.744
SWE,2000,36.902
SWE,2001,37.555
SWE,2002,38.117
SWE,2003,38.849
SWE,2004,40.198
SWE,2005,41.079
SWE,2006,42.378
SWE,2007,43.362
SWE,2008,43.457
SWE,2009,42.656
SWE,2010,43.325
SWE,2011,43.82
SWE,2012,43.817
SWE,2013,43.978
SWE,2014,44.924
SWE,2015,45.983
SWE,2016,46.995
SWE,2017,47.827
SWE,2018,48.634
SWE,2019,48.804
SWE,2020,NA
SWE,2021,NA
CHE,1980,31.997
CHE,1981,32.319
CHE,1982,32.406
CHE,1983,32.522
CHE,1984,33.239
CHE,1985,34.075
CHE,1986,34.777
CHE,1987,35.495
CHE,1988,36.119
CHE,1989,37.299
CHE,1990,38.159
CHE,1991,38.158
CHE,1992,37.938
CHE,1993,37.619
CHE,1994,37.864
CHE,1995,37.959
CHE,1996,38.373
CHE,1997,39.19
CHE,1998,40.451
