"Parameter","M1 OLS","M2 RI","M3 RI RS","M4 Old Way"
"(Intercept)","5.98 ***","5.91 ***","5.50 ***","4.73 ***"
"inc real","0.04 ***","0.03 ***","0.36 ***","0.03 ***"
"iso3c [ARG]","","","","1.95 ***"
"iso3c [ARM]","","","","-0.46 ***"
"iso3c [AUS]","","","","1.64 ***"
"iso3c [AZE]","","","","0.56 ***"
"iso3c [BFA]","","","","0.82 ***"
"iso3c [BGD]","","","","1.35 ***"
"iso3c [BGR]","","","","-0.02"
"iso3c [BIH]","","","","0.51 ***"
"iso3c [BLR]","","","","-0.23 ***"
"iso3c [BRA]","","","","2.62 ***"
"iso3c [CAN]","","","","1.54 ***"
"iso3c [CHE]","","","","1.81 ***"
"iso3c [CHL]","","","","2.22 ***"
"iso3c [CHN]","","","","2.04 ***"
"iso3c [COL]","","","","3.41 ***"
"iso3c [CYP]","","","","1.43 ***"
"iso3c [CZE]","","","","1.23 ***"
"iso3c [DEU]","","","","1.47 ***"
"iso3c [DOM]","","","","2.28 ***"
"iso3c [DZA]","","","","0.63 ***"
"iso3c [EGY]","","","","0.95 ***"
"iso3c [ESP]","","","","1.79 ***"
"iso3c [EST]","","","","0.11"
"iso3c [ETH]","","","","0.23 **"
"iso3c [FIN]","","","","2.21 ***"
"iso3c [FRA]","","","","1.60 ***"
"iso3c [GBR]","","","","1.42 ***"
"iso3c [GEO]","","","","-0.10000000000000001"
"iso3c [GHA]","","","","1.32 ***"
"iso3c [HKG]","","","","0.68 ***"
"iso3c [HRV]","","","","0.98 ***"
"iso3c [IDN]","","","","2.11 ***"
"iso3c [IND]","","","","1.20 ***"
"iso3c [IRN]","","","","1.33 ***"
"iso3c [IRQ]","","","","-0.040000000000000001"
"iso3c [ISR]","","","","1.77 ***"
"iso3c [ITA]","","","","1.44 ***"
"iso3c [JOR]","","","","0.70 ***"
"iso3c [JPN]","","","","0.47 ***"
"iso3c [KGZ]","","","","1.74 ***"
"iso3c [KOR]","","","","0.74 ***"
"iso3c [LTU]","","","","-0.22 *"
"iso3c [LVA]","","","","-0.10000000000000001"
"iso3c [MAR]","","","","0.53 ***"
"iso3c [MDA]","","","","-0.20 **"
"iso3c [MEX]","","","","2.85 ***"
"iso3c [MKD]","","","","0.25 ***"
"iso3c [MLI]","","","","1.40 ***"
"iso3c [MYS]","","","","1.79 ***"
"iso3c [NGA]","","","","1.89 ***"
"iso3c [NLD]","","","","2.05 ***"
"iso3c [NOR]","","","","1.69 ***"
"iso3c [NZL]","","","","1.54 ***"
"iso3c [PAK]","","","","-0.080000000000000002"
"iso3c [PER]","","","","1.46 ***"
"iso3c [PHL]","","","","1.84 ***"
"iso3c [POL]","","","","1.59 ***"
"iso3c [PRI]","","","","3.01 ***"
"iso3c [ROU]","","","","0.43 ***"
"iso3c [RUS]","","","","0.33 ***"
"iso3c [RWA]","","","","0.27 ***"
"iso3c [SAU]","","","","0.91 ***"
"iso3c [SGP]","","","","1.51 ***"
"iso3c [SLV]","","","","2.38 ***"
"iso3c [SRB]","","","","0.44 ***"
"iso3c [SVK]","","","","1.10 ***"
"iso3c [SVN]","","","","1.82 ***"
"iso3c [SWE]","","","","1.77 ***"
"iso3c [THA]","","","","1.97 ***"
"iso3c [TTO]","","","","2.00 ***"
"iso3c [TUR]","","","","1.31 ***"
"iso3c [TZA]","","","","-0.93 ***"
"iso3c [UGA]","","","","1.04 ***"
"iso3c [UKR]","","","","-0.25 ***"
"iso3c [URY]","","","","2.30 ***"
"iso3c [USA]","","","","1.59 ***"
"iso3c [VEN]","","","","2.04 ***"
"iso3c [VNM]","","","","2.08 ***"
"iso3c [ZAF]","","","","1.06 ***"
"iso3c [ZMB]","","","","1.34 ***"
"iso3c [ZWE]","","","","-0.80 ***"
"Random Effects","","","",""
"s2","","4.96","4.7999999999999998",""
"t00","","0.83 iso3c","1.70 iso3c",""
"t11","","","0.67 iso3c.inc_real",""
"<U+03C1>01","","","-0.36 iso3c",""
"ICC","","0.14000000000000001","0.97999999999999998",""
"N","","82 iso3c","82 iso3c",""
"Observations","209417","209417","209417","209417"
"R2 / R2 adjusted","0.064 / 0.064","0.051 / 0.187","0.103 / 0.985","0.201 / 0.201"
"AIC","962565.05900000001","929980.179","923999.94499999995","929566.21200000006"
"log-Likelihood","-481279.52899999998","-464986.08899999998","-461993.97200000001","-464699.10600000003"
"df","3","4","6","84"
"test v m1","","0","0","0"
"test v m2","","","0","0"
"test v m3","","","","1"
"* p<0.05   ** p<0.01   *** p<0.001","","","",""
