Parameter,M0,M1,M2,M3,M4
(Intercept),6.34 ***,6.36 ***,5.91 ***,5.87 ***,5.92 ***
"Income, total", , ,0.04 ***, , 
"Income, within", , , ,0.04 ***,0.27 ***
"Income, between", , , ,0.04 ***,0.04 ***
Random Components, , , , , 
Within_res_var,5.04,4.95,4.87,4.87,4.7
Between_l2_res_var, ,0.18,0.18,0.18,0.19
Between_l3_res_var,1.21,1.07,0.69,0.68,0.67
Random slope var, , , , ,0.33 .inc_real_w
Corr slope var, , , , ,-0.22
ICC (unexplained),0.19,0.2,0.15,0.15,0.82
Country N,82,82,82,82,82
Wave N, ,159,159,159,159
Individual N,209417,209417,209417,209417,209417
M R2 / C R2,0.000 / 0.194,0.000 / 0.201,0.057 / 0.199,0.063 / 0.204,0.155 / 0.851
AIC,933639.932,930099.566,926420.106,926430.209,920267.169
LL,-466816.966,-465045.783,-463205.053,-463209.105,-460125.584
df,3,4,5,6,8
within r2,0,0.017857143,0.033730159,0.033730159,0.067460317
between iso3c r2,0,0.115702479,0.429752066,0.438016529,0.446280992
between iso3c_wave r2, ,0,0,0,-0.055555556
*p<0.05 **p<0.01 ***p<0.001,,,,,
